file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes,mlg_cn_reference,mlg_cn_reference_variants,eng_reference,eng_reference_variants,reference_status,reference_method,reference_reason
BRIEFING_FILES_BLOCK_055B40,0,stream=0x55000;block=0xB40;text=0,"[""stream=0x55000;block=0xB40;text=0""]",1,BRIEFING FILES,"[""stream=0x55000;block=0xB40;block_file=0x55B40;text_base=0x55B9C;capacity=1036""]",,"どうしてマザーベースへ来る気になったんだ？
","おまえに興味が湧いた。
",[],,,NOT_CHECKED,64,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,你为什么同意来这里—母基地？,"[""你为什么同意来这里—母基地？""]","Why'd you agree to come here - to Mother Base?
","[""Why'd you agree to come here - to Mother Base?\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x55B40; ENG blocks=0xE3AA0; ENG source rows=0xE3AA0#0; block_semantic_score=0.188582.
BRIEFING_FILES_BLOCK_055B40,1,stream=0x55000;block=0xB40;text=1,"[""stream=0x55000;block=0xB40;text=1""]",1,BRIEFING FILES,"[""stream=0x55000;block=0xB40;block_file=0x55B40;text_base=0x55B9C;capacity=1036""]","どうしてマザーベースへ来る気になったんだ？
","おまえに興味が湧いた。
","俺に？　…まさか、今度は俺をモデルにしたAIを…。
",[],,,NOT_CHECKED,34,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,你引起了我的兴趣。,"[""你引起了我的兴趣。""]","You intrigued me.
","[""You intrigued me.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x55B40; ENG blocks=0xE3AA0; ENG source rows=0xE3AA0#1; block_semantic_score=0.188582.
BRIEFING_FILES_BLOCK_055B40,2,stream=0x55000;block=0xB40;text=2,"[""stream=0x55000;block=0xB40;text=2""]",1,BRIEFING FILES,"[""stream=0x55000;block=0xB40;block_file=0x55B40;text_base=0x55B9C;capacity=1036""]","おまえに興味が湧いた。
","俺に？　…まさか、今度は俺をモデルにしたAIを…。
","はっ、それも悪くない。だが、もう人の思考そのものを移
植するつもりはない。
",[],,,NOT_CHECKED,72,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"我？…等等，你不是打算以我
为原型来设计下一个AI吧…","[""我？…等等，你不是打算以我\n为原型来设计下一个AI吧…""]","Me? ...Hold on, you're not planning on modeling
your next AI after me...
","[""Me? ...Hold on, you're not planning on modeling\nyour next AI after me...\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x55B40; ENG blocks=0xE3AA0; ENG source rows=0xE3AA0#2; block_semantic_score=0.188582.
BRIEFING_FILES_BLOCK_055B40,3,stream=0x55000;block=0xB40;text=3,"[""stream=0x55000;block=0xB40;text=3""]",1,BRIEFING FILES,"[""stream=0x55000;block=0xB40;block_file=0x55B40;text_base=0x55B9C;capacity=1036""]","俺に？　…まさか、今度は俺をモデルにしたAIを…。
","はっ、それも悪くない。だが、もう人の思考そのものを移
植するつもりはない。
","…安心したよ。
",[],,,NOT_CHECKED,110,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,人类的思想移植进机器里。,"[""人类的思想移植进机器里。""]","human thought into machines.
","[""human thought into machines.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x55B40; ENG blocks=0xE3AA0; ENG source rows=0xE3AA0#4; block_semantic_score=0.188582.
BRIEFING_FILES_BLOCK_055B40,4,stream=0x55000;block=0xB40;text=4,"[""stream=0x55000;block=0xB40;text=4""]",1,BRIEFING FILES,"[""stream=0x55000;block=0xB40;block_file=0x55B40;text_base=0x55B9C;capacity=1036""]","はっ、それも悪くない。だが、もう人の思考そのものを移
植するつもりはない。
","…安心したよ。
","おまえはザ・ボスの遺志を継ぐ男だ。
",[],,,NOT_CHECKED,22,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,…那我就放心了。,"[""…那我就放心了。""]","...That's a relief.
","[""...That's a relief.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x55B40; ENG blocks=0xE3AA0; ENG source rows=0xE3AA0#5; block_semantic_score=0.188582.
BRIEFING_FILES_BLOCK_055B40,5,stream=0x55000;block=0xB40;text=5,"[""stream=0x55000;block=0xB40;text=5""]",1,BRIEFING FILES,"[""stream=0x55000;block=0xB40;block_file=0x55B40;text_base=0x55B9C;capacity=1036""]","…安心したよ。
","おまえはザ・ボスの遺志を継ぐ男だ。
","そのおまえが人を集め、育て、一つの組織を作ろうとして
いる。その行く末を見てみたい。
",[],,,NOT_CHECKED,52,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,你就是继承了The Boss意志的人。,"[""你就是继承了The Boss意志的人。""]","You are the man who inherited The Boss's will.
","[""You are the man who inherited The Boss's will.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x55B40; ENG blocks=0xE3AA0; ENG source rows=0xE3AA0#6; block_semantic_score=0.188582.
BRIEFING_FILES_BLOCK_055B40,6,stream=0x55000;block=0xB40;text=6,"[""stream=0x55000;block=0xB40;text=6""]",1,BRIEFING FILES,"[""stream=0x55000;block=0xB40;block_file=0x55B40;text_base=0x55B9C;capacity=1036""]","おまえはザ・ボスの遺志を継ぐ男だ。
","そのおまえが人を集め、育て、一つの組織を作ろうとして
いる。その行く末を見てみたい。
","AI研究に戻るつもりはないのか？
",[],,,NOT_CHECKED,125,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"你至今仍在聚集身边的人，塑造他们，建立一个新组织。
我很想看看结果会如何。","[""你至今仍在聚集身边的人，塑造他们，建立一个新组织。\n我很想看看结果会如何。""]","You're gathering people around you even now,
shaping them, building a new organization. I'd like
to see how it turns out.
","[""You're gathering people around you even now,\nshaping them, building a new organization. I'd like\nto see how it turns out.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,"JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:2; JPN blocks=0x55B40; ENG blocks=0xE3AA0,0xE3AA0; ENG source rows=0xE3AA0#7,0xE3AA0#8; block_semantic_score=0.188582."
BRIEFING_FILES_BLOCK_055B40,7,stream=0x55000;block=0xB40;text=7,"[""stream=0x55000;block=0xB40;text=7""]",1,BRIEFING FILES,"[""stream=0x55000;block=0xB40;block_file=0x55B40;text_base=0x55B9C;capacity=1036""]","そのおまえが人を集め、育て、一つの組織を作ろうとして
いる。その行く末を見てみたい。
","AI研究に戻るつもりはないのか？
","誰がやめると言った。続けるさ。
",[],,,NOT_CHECKED,45,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,你不打算回去继续AI研究吗？,"[""你不打算回去继续AI研究吗？""]","You're not planning to go back to AI research?
","[""You're not planning to go back to AI research?\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x55B40; ENG blocks=0xE3AA0; ENG source rows=0xE3AA0#9; block_semantic_score=0.188582.
BRIEFING_FILES_BLOCK_055B40,8,stream=0x55000;block=0xB40;text=8,"[""stream=0x55000;block=0xB40;text=8""]",1,BRIEFING FILES,"[""stream=0x55000;block=0xB40;block_file=0x55B40;text_base=0x55B9C;capacity=1036""]","AI研究に戻るつもりはないのか？
","誰がやめると言った。続けるさ。
","ここでか？
",[],,,NOT_CHECKED,46,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"我可没这么说过。
我的工作当然会继续…","[""我可没这么说过。\n我的工作当然会继续…""]","I never said such a thing. Of course my work will
continue...
","[""I never said such a thing. Of course my work will\ncontinue...\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x55B40; ENG blocks=0xE3AA0; ENG source rows=0xE3AA0#10; block_semantic_score=0.188582.
BRIEFING_FILES_BLOCK_055B40,9,stream=0x55000;block=0xB40;text=9,"[""stream=0x55000;block=0xB40;text=9""]",1,BRIEFING FILES,"[""stream=0x55000;block=0xB40;block_file=0x55B40;text_base=0x55B9C;capacity=1036""]","誰がやめると言った。続けるさ。
","ここでか？
","私にとっては、MSFという組織の成長過程そのものが、神
経網の発達に重なって見える。
",[],,,NOT_CHECKED,16,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,在这里？,"[""在这里？""]","Here?
","[""Here?\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x55B40; ENG blocks=0xE3AA0; ENG source rows=0xE3AA0#11; block_semantic_score=0.188582.
