file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
BRIEFING_FILES_BLOCK_085AF0,0,stream=0x85000;block=0xAF0;text=0,"[""stream=0x85000;block=0xAF0;text=0""]",1,BRIEFING FILES,"[""stream=0x85000;block=0xAF0;block_file=0x85AF0;text_base=0x85BA0;capacity=3660""]",,"スネークの右腕とも言えるミラーだが、彼には少しばかり
悪い癖があるようだった。
","すぐに手近な女に手を出すのだ。
",[],堪称Snake左右手的Miller，似乎有个不太好的毛病。,,MATCH,116,65,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_085AF0,1,stream=0x85000;block=0xAF0;text=1,"[""stream=0x85000;block=0xAF0;text=1""]",1,BRIEFING FILES,"[""stream=0x85000;block=0xAF0;block_file=0x85AF0;text_base=0x85BA0;capacity=3660""]","スネークの右腕とも言えるミラーだが、彼には少しばかり
悪い癖があるようだった。
","すぐに手近な女に手を出すのだ。
","10代は対象外なのか、私には何もしてこないが…。
",[],他总会立刻对身边的女人下手。,,MATCH,46,42,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_085AF0,2,stream=0x85000;block=0xAF0;text=2,"[""stream=0x85000;block=0xAF0;text=2""]",1,BRIEFING FILES,"[""stream=0x85000;block=0xAF0;block_file=0x85AF0;text_base=0x85BA0;capacity=3660""]","すぐに手近な女に手を出すのだ。
","10代は対象外なのか、私には何もしてこないが…。
","その代わりと言ってはなんだが、マザーベースで数少ない
女性兵士に、次々と声をかけているらしい。
",[],也许十几岁的少女不在他的目标范围内，所以他倒没对我做过什么……。,,MATCH,69,96,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_085AF0,3,stream=0x85000;block=0xAF0;text=3,"[""stream=0x85000;block=0xAF0;text=3""]",1,BRIEFING FILES,"[""stream=0x85000;block=0xAF0;block_file=0x85AF0;text_base=0x85BA0;capacity=3660""]","10代は対象外なのか、私には何もしてこないが…。
","その代わりと言ってはなんだが、マザーベースで数少ない
女性兵士に、次々と声をかけているらしい。
","女の方も女の方で、よせばいいのに簡単に引っかかってし
まう。
",[],不过作为替代，他似乎把Mother Base里为数不多的女兵一个个都搭讪了个遍。,,MATCH,140,98,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_085AF0,4,stream=0x85000;block=0xAF0;text=4,"[""stream=0x85000;block=0xAF0;text=4""]",1,BRIEFING FILES,"[""stream=0x85000;block=0xAF0;block_file=0x85AF0;text_base=0x85BA0;capacity=3660""]","その代わりと言ってはなんだが、マザーベースで数少ない
女性兵士に、次々と声をかけているらしい。
","女の方も女の方で、よせばいいのに簡単に引っかかってし
まう。
","あんな男でも外見だけは悪くないというのが、問題の根幹
なのかもしれない。
",[],那些女人也是，明明不理他就好了，却总是轻易上钩。,,MATCH,89,72,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_085AF0,5,stream=0x85000;block=0xAF0;text=5,"[""stream=0x85000;block=0xAF0;text=5""]",1,BRIEFING FILES,"[""stream=0x85000;block=0xAF0;block_file=0x85AF0;text_base=0x85BA0;capacity=3660""]","女の方も女の方で、よせばいいのに簡単に引っかかってし
まう。
","あんな男でも外見だけは悪くないというのが、問題の根幹
なのかもしれない。
","今日もそんなミラーの悪い癖がトラブルの種となったよう
だ。
",[],问题的根源，也许就在于那种男人偏偏长得还不赖。,,MATCH,107,69,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_085AF0,6,stream=0x85000;block=0xAF0;text=6,"[""stream=0x85000;block=0xAF0;text=6""]",1,BRIEFING FILES,"[""stream=0x85000;block=0xAF0;block_file=0x85AF0;text_base=0x85BA0;capacity=3660""]","あんな男でも外見だけは悪くないというのが、問題の根幹
なのかもしれない。
","今日もそんなミラーの悪い癖がトラブルの種となったよう
だ。
","スネークとミラーが珍しくケンカしているところを、私は
目撃した。
",[],今天，Miller这个坏毛病似乎又惹出了麻烦。,,MATCH,86,57,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_085AF0,7,stream=0x85000;block=0xAF0;text=7,"[""stream=0x85000;block=0xAF0;text=7""]",1,BRIEFING FILES,"[""stream=0x85000;block=0xAF0;block_file=0x85AF0;text_base=0x85BA0;capacity=3660""]","今日もそんなミラーの悪い癖がトラブルの種となったよう
だ。
","スネークとミラーが珍しくケンカしているところを、私は
目撃した。
","シャワー室から出てきた二人は、全裸で殴り合っていた。
",[],我亲眼撞见了Snake和Miller难得吵架的场面。,,MATCH,95,56,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_085AF0,8,stream=0x85000;block=0xAF0;text=8,"[""stream=0x85000;block=0xAF0;text=8""]",1,BRIEFING FILES,"[""stream=0x85000;block=0xAF0;block_file=0x85AF0;text_base=0x85BA0;capacity=3660""]","スネークとミラーが珍しくケンカしているところを、私は
目撃した。
","シャワー室から出てきた二人は、全裸で殴り合っていた。
","私も男の裸を見て頬を赤らめるほど子供ではないが、これ
にはさすがに驚いた。
",[],两人从淋浴间出来时，竟然全身赤裸地扭打在一起。,,MATCH,79,69,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_085AF0,9,stream=0x85000;block=0xAF0;text=9,"[""stream=0x85000;block=0xAF0;text=9""]",1,BRIEFING FILES,"[""stream=0x85000;block=0xAF0;block_file=0x85AF0;text_base=0x85BA0;capacity=3660""]","シャワー室から出てきた二人は、全裸で殴り合っていた。
","私も男の裸を見て頬を赤らめるほど子供ではないが、これ
にはさすがに驚いた。
","「これで少しは懲りろ！」などと叫びつつ、スネークはミ
ラーの胸を殴りつける。
",[],我也不是看到男人裸体就会脸红的小孩子了，可这一幕还是让我吃了一惊。,,MATCH,110,99,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
