file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
5D3AF5AD,0,0,0,1,,page1877:tag14:entity0:key00000000:ref0:ord0,,ん！？,物資は,,嗯！？,,MATCH,9,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_STARTLED_VOCALIZATION_AND_EXCLAMATION_QUESTION_ORDER_PRESERVED; SHIFTED_AUX_SNAKE_RADIO_LINE_REJECTED
5D3AF5AD,1,1,1,1,,page1877:tag14:entity8:key00000007:ref1:ord0,ん！？,物資は,拠点地図も見つけた,,物资呢,,MATCH,9,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_FRAGMENT_AND_NO_TERMINAL_PUNCTUATION_PRESERVED
5D3AF5AD,2,2,2,1,,page1877:tag14:entity7:key00000006:ref2:ord0,物資は,拠点地図も見つけた,探知されないように 周波数も定期的に変える事にしよう,,还找到了基地地图,,MATCH,27,24,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_BASE_MAP_SEMANTICS_AND_NO_TERMINAL_PUNCTUATION_PRESERVED
5D3AF5AD,3,3,3,1,,page1877:tag14:entity6:key00000005:ref3:ord0,拠点地図も見つけた,探知されないように 周波数も定期的に変える事にしよう,音声位相を反転する回路を取り付けた,,为了不被侦测 频率也定期更换吧,,MATCH,76,43,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_INTERNAL_ASCII_SPACE_PRESERVED; DETECTION_AVOIDANCE_AND_PERIODIC_FREQUENCY_CHANGE_SEMANTICS_PRESERVED
5D3AF5AD,4,4,4,1,,page1877:tag14:entity5:key00000004:ref4:ord0,探知されないように 周波数も定期的に変える事にしよう,音声位相を反転する回路を取り付けた,無線機を入手したのか！？,,装上了反转音频相位的电路,,MATCH,51,36,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_AUDIO_PHASE_REVERSAL_CIRCUIT_SEMANTICS_PRESERVED; SHIFTED_AUX_MAP_LINE_REJECTED
5D3AF5AD,5,5,5,1,,page1877:tag14:entity4:key00000003:ref5:ord0,音声位相を反転する回路を取り付けた,無線機を入手したのか！？,ああ,,拿到无线电了吗！？,,MATCH,36,27,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_RADIO_ACQUISITION_QUESTION_AND_EXCLAMATION_QUESTION_ORDER_PRESERVED; SHIFTED_AUX_REJECTED
5D3AF5AD,6,6,6,1,,page1877:tag14:entity3:key00000002:ref6:ord0,無線機を入手したのか！？,ああ,カズ 聞こえるか,,嗯,,MATCH,6,3,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_SHORT_AFFIRMATION_AND_NO_TERMINAL_PUNCTUATION_PRESERVED; SHIFTED_AUX_CIRCUIT_LINE_REJECTED
5D3AF5AD,7,7,7,1,,page1877:tag14:entity2:key00000001:ref7:ord0,ああ,カズ 聞こえるか,こちらスネーク,,Kaz 听得到吗,,MATCH,22,16,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_INTERNAL_ASCII_SPACE_AND_KAZ_IDENTITY_PRESERVED; NO_TERMINAL_PUNCTUATION_ADDED; SHIFTED_AUX_REJECTED
5D3AF5AD,8,8,8,1,,page1877:tag14:entity1:key00000000:ref8:ord0,カズ 聞こえるか,こちらスネーク,通信兵の服にもな,,这里是Snake,,MATCH,21,14,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_SNAKE_RADIO_IDENTIFICATION_PRESERVED; SHIFTED_AUX_CARGO_LINE_REJECTED
5D3AF5AD,9,9,9,1,,page1877:tag14:entity15:key00000006:ref9:ord0,こちらスネーク,通信兵の服にもな,…フィルムバッジ？　放射線の被曝量を測定する？,,通信兵的衣服上也有,,MATCH,24,27,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_COMMUNICATIONS_SOLDIER_CLOTHING_FRAGMENT_PRESERVED; NO_TERMINAL_PUNCTUATION_ADDED
