file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
LANG_ITEM_TEXT.OLANG,0,0,0;1;2;502;503;504;505;506;507;0;1;2;502;503;504;505;506;507,18,,page23:tag:entity99:key00000063:ref0:ord0;page23:tag:entity98:key00000062:ref1:ord0;page23:tag:entity97:key00000061:ref2:ord0;page23:tag:entity105:key00000069:ref502:ord0;page23:tag:entity104:key00000068:ref503:ord0;page23:tag:entity103:key00000067:ref504:ord0;page23:tag:entity102:key00000066:ref505:ord0;page23:tag:entity101:key00000065:ref506:ord0;page23:tag:entity100:key00000064:ref507:ord0;page174:tag:entity99:key00000063:ref0:ord0;page174:tag:entity98:key00000062:ref1:ord0;page174:tag:entity97:key00000061:ref2:ord0;page174:tag:entity105:key00000069:ref502:ord0;page174:tag:entity104:key00000068:ref503:ord0;page174:tag:entity103:key00000067:ref504:ord0;page174:tag:entity102:key00000066:ref505:ord0;page174:tag:entity101:key00000065:ref506:ord0;page174:tag:entity100:key00000064:ref507:ord0,,"サイズの大きなダンボール箱。二人くらいは
入れそう。改良により耐久度が向上。また、
“DROP”で設置できる。","サイズの大きなダンボール箱。二人くらいは
入れそう。装備品ウインドウを開き、選択した
状態でＬボタン（ハンタータイプは<I=LEFT>）を
押す（“DROP”する）と設置。",,"大型纸箱，大约能装下两个人。
经过改良，耐久度有所提升，还可以通过“DROP”进行放置。",,MATCH,153,122,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=18
LANG_ITEM_TEXT.OLANG,1,3,3;3,2,,page23:tag:entity96:key00000060:ref3:ord0;page174:tag:entity96:key00000060:ref3:ord0,"サイズの大きなダンボール箱。二人くらいは
入れそう。改良により耐久度が向上。また、
“DROP”で設置できる。","サイズの大きなダンボール箱。二人くらいは
入れそう。装備品ウインドウを開き、選択した
状態でＬボタン（ハンタータイプは<I=LEFT>）を
押す（“DROP”する）と設置。","装備するとステルス状態になれる
特殊な迷彩。",<I=LEFT>,"大型纸箱，大约能装下两个人。
打开装备窗口并选中后，按L键（猎人操作类型按<I=LEFT>）即可“DROP”放置。",<I=LEFT>,MATCH,228,143,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=JPN_CONTROL_PRESERVED
LANG_ITEM_TEXT.OLANG,2,4,4;4,2,,page23:tag:entity95:key0000005F:ref4:ord0;page174:tag:entity95:key0000005F:ref4:ord0,"サイズの大きなダンボール箱。二人くらいは
入れそう。装備品ウインドウを開き、選択した
状態でＬボタン（ハンタータイプは<I=LEFT>）を
押す（“DROP”する）と設置。","装備するとステルス状態になれる
特殊な迷彩。","壁や地面に密着すると自分が、仲間のそばで
アイコン表示時に<I=ACT>を押すと相手が、
それぞれ透明化する特殊欺瞞装置。
使用する度に一つ消費する。",,装备后可进入隐身状态的特殊迷彩。,,MATCH,64,48,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_ITEM_TEXT.OLANG,3,5,5;6;5;6,4,,page23:tag:entity94:key0000005E:ref5:ord0;page23:tag:entity93:key0000005D:ref6:ord0;page174:tag:entity94:key0000005E:ref5:ord0;page174:tag:entity93:key0000005D:ref6:ord0,"装備するとステルス状態になれる
特殊な迷彩。","壁や地面に密着すると自分が、仲間のそばで
アイコン表示時に<I=ACT>を押すと相手が、
それぞれ透明化する特殊欺瞞装置。
使用する度に一つ消費する。","敵情報解析装置。
改良により、サーチ速度、
サーチ距離が向上した。",<I=ACT>,"贴靠墙壁或地面时可让自己隐形；靠近同伴并在显示图标时按<I=ACT>，可让对方隐形。
每次使用都会消耗一个。",<I=ACT>,MATCH,205,146,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=4; review_flag=JPN_CONTROL_PRESERVED
LANG_ITEM_TEXT.OLANG,4,7,7;8;7;8,4,,page23:tag:entity92:key0000005C:ref7:ord0;page23:tag:entity91:key0000005B:ref8:ord0;page174:tag:entity92:key0000005C:ref7:ord0;page174:tag:entity91:key0000005B:ref8:ord0,"壁や地面に密着すると自分が、仲間のそばで
アイコン表示時に<I=ACT>を押すと相手が、
それぞれ透明化する特殊欺瞞装置。
使用する度に一つ消費する。","敵情報解析装置。
改良により、サーチ速度、
サーチ距離が向上した。","敵情報解析装置。
改良により、解析精度、サーチ速度、
サーチ距離が向上した。",,"敌情分析装置。
经过改良，搜索速度和搜索距离均有所提升。",,MATCH,95,82,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=4; review_flag=AUX_EXTRA_<I=STA>_BEHAVIOR_REJECTED
LANG_ITEM_TEXT.OLANG,5,9,9;11;9;11,4,,page23:tag:entity90:key0000005A:ref9:ord0;page23:tag:entity89:key00000059:ref11:ord0;page174:tag:entity90:key0000005A:ref9:ord0;page174:tag:entity89:key00000059:ref11:ord0,"敵情報解析装置。
改良により、サーチ速度、
サーチ距離が向上した。","敵情報解析装置。
改良により、解析精度、サーチ速度、
サーチ距離が向上した。",取得！,,"敌情分析装置。
经过改良，分析精度、搜索速度和搜索距离均有所提升。",,MATCH,110,97,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=4
LANG_ITEM_TEXT.OLANG,6,10,10;21;32;40;41;42;44;45;46;47;49;50;51;53;64;65;76;87;98;109;120;131;142;153;164;175;176;187;198;209;220;231;242;253;264;275;286;298;309;320;331;342;353;364;375;386;397;398;409;420;431;442;453;464;475;508;509;10;21;32;40;41;42;44;45;46;47;49;50;51;53;64;65;76;87;98;109;120;131;142;153;164;175;176;187;198;209;220;231;242;253;264;275;286;298;309;320;331;342;353;364;375;386;397;398;409;420;431;442;453;464;475;508;509,114,,page23:tag:entity9:key00000009:ref10:ord0;page23:tag:entity8:key00000008:ref21:ord0;page23:tag:entity7:key00000007:ref32:ord0;page23:tag:entity62:key0000003E:ref40:ord0;page23:tag:entity61:key0000003D:ref41:ord0;page23:tag:entity60:key0000003C:ref42:ord0;page23:tag:entity59:key0000003B:ref44:ord0;page23:tag:entity58:key0000003A:ref45:ord0;page23:tag:entity57:key00000039:ref46:ord0;page23:tag:entity56:key00000038:ref47:ord0;page23:tag:entity54:key00000036:ref49:ord0;page23:tag:entity53:key00000035:ref50:ord0;page23:tag:entity52:key00000034:ref51:ord0;page23:tag:entity51:key00000033:ref53:ord0;page23:tag:entity50:key00000032:ref64:ord0;page23:tag:entity5:key00000005:ref65:ord0;page23:tag:entity49:key00000031:ref76:ord0;page23:tag:entity48:key00000030:ref87:ord0;page23:tag:entity47:key0000002F:ref98:ord0;page23:tag:entity46:key0000002E:ref109:ord0;page23:tag:entity45:key0000002D:ref120:ord0;page23:tag:entity44:key0000002C:ref131:ord0;page23:tag:entity43:key0000002B:ref142:ord0;page23:tag:entity42:key0000002A:ref153:ord0;page23:tag:entity41:key00000029:ref164:ord0;page23:tag:entity40:key00000028:ref175:ord0;page23:tag:entity4:key00000004:ref176:ord0;page23:tag:entity39:key00000027:ref187:ord0;page23:tag:entity38:key00000026:ref198:ord0;page23:tag:entity37:key00000025:ref209:ord0;page23:tag:entity36:key00000024:ref220:ord0;page23:tag:entity35:key00000023:ref231:ord0;page23:tag:entity34:key00000022:ref242:ord0;page23:tag:entity33:key00000021:ref253:ord0;page23:tag:entity32:key00000020:ref264:ord0;page23:tag:entity31:key0000001F:ref275:ord0;page23:tag:entity30:key0000001E:ref286:ord0;page23:tag:entity29:key0000001D:ref298:ord0;page23:tag:entity28:key0000001C:ref309:ord0;page23:tag:entity27:key0000001B:ref320:ord0;page23:tag:entity26:key0000001A:ref331:ord0;page23:tag:entity25:key00000019:ref342:ord0;page23:tag:entity24:key00000018:ref353:ord0;page23:tag:entity23:key00000017:ref364:ord0;page23:tag:entity22:key00000016:ref375:ord0;page23:tag:entity21:key00000015:ref386:ord0;page23:tag:entity20:key00000014:ref397:ord0;page23:tag:entity2:key00000002:ref398:ord0;page23:tag:entity19:key00000013:ref409:ord0;page23:tag:entity18:key00000012:ref420:ord0;page23:tag:entity17:key00000011:ref431:ord0;page23:tag:entity16:key00000010:ref442:ord0;page23:tag:entity15:key0000000F:ref453:ord0;page23:tag:entity14:key0000000E:ref464:ord0;page23:tag:entity13:key0000000D:ref475:ord0;page23:tag:entity10:key0000000A:ref508:ord0;page23:tag:entity1:key00000001:ref509:ord0;page174:tag:entity9:key00000009:ref10:ord0;page174:tag:entity8:key00000008:ref21:ord0;page174:tag:entity7:key00000007:ref32:ord0;page174:tag:entity62:key0000003E:ref40:ord0;page174:tag:entity61:key0000003D:ref41:ord0;page174:tag:entity60:key0000003C:ref42:ord0;page174:tag:entity59:key0000003B:ref44:ord0;page174:tag:entity58:key0000003A:ref45:ord0;page174:tag:entity57:key00000039:ref46:ord0;page174:tag:entity56:key00000038:ref47:ord0;page174:tag:entity54:key00000036:ref49:ord0;page174:tag:entity53:key00000035:ref50:ord0;page174:tag:entity52:key00000034:ref51:ord0;page174:tag:entity51:key00000033:ref53:ord0;page174:tag:entity50:key00000032:ref64:ord0;page174:tag:entity5:key00000005:ref65:ord0;page174:tag:entity49:key00000031:ref76:ord0;page174:tag:entity48:key00000030:ref87:ord0;page174:tag:entity47:key0000002F:ref98:ord0;page174:tag:entity46:key0000002E:ref109:ord0;page174:tag:entity45:key0000002D:ref120:ord0;page174:tag:entity44:key0000002C:ref131:ord0;page174:tag:entity43:key0000002B:ref142:ord0;page174:tag:entity42:key0000002A:ref153:ord0;page174:tag:entity41:key00000029:ref164:ord0;page174:tag:entity40:key00000028:ref175:ord0;page174:tag:entity4:key00000004:ref176:ord0;page174:tag:entity39:key00000027:ref187:ord0;page174:tag:entity38:key00000026:ref198:ord0;page174:tag:entity37:key00000025:ref209:ord0;page174:tag:entity36:key00000024:ref220:ord0;page174:tag:entity35:key00000023:ref231:ord0;page174:tag:entity34:key00000022:ref242:ord0;page174:tag:entity33:key00000021:ref253:ord0;page174:tag:entity32:key00000020:ref264:ord0;page174:tag:entity31:key0000001F:ref275:ord0;page174:tag:entity30:key0000001E:ref286:ord0;page174:tag:entity29:key0000001D:ref298:ord0;page174:tag:entity28:key0000001C:ref309:ord0;page174:tag:entity27:key0000001B:ref320:ord0;page174:tag:entity26:key0000001A:ref331:ord0;page174:tag:entity25:key00000019:ref342:ord0;page174:tag:entity24:key00000018:ref353:ord0;page174:tag:entity23:key00000017:ref364:ord0;page174:tag:entity22:key00000016:ref375:ord0;page174:tag:entity21:key00000015:ref386:ord0;page174:tag:entity20:key00000014:ref397:ord0;page174:tag:entity2:key00000002:ref398:ord0;page174:tag:entity19:key00000013:ref409:ord0;page174:tag:entity18:key00000012:ref420:ord0;page174:tag:entity17:key00000011:ref431:ord0;page174:tag:entity16:key00000010:ref442:ord0;page174:tag:entity15:key0000000F:ref453:ord0;page174:tag:entity14:key0000000E:ref464:ord0;page174:tag:entity13:key0000000D:ref475:ord0;page174:tag:entity10:key0000000A:ref508:ord0;page174:tag:entity1:key00000001:ref509:ord0,"敵情報解析装置。
改良により、解析精度、サーチ速度、
サーチ距離が向上した。",取得！,"敵情報解析装置。
改良により、解析精度、サーチ速度、
サーチ距離が向上した。",,获得！,,MATCH,9,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=114
LANG_ITEM_TEXT.OLANG,7,12,12;12,2,,page23:tag:entity88:key00000058:ref12:ord0;page174:tag:entity88:key00000058:ref12:ord0,"敵情報解析装置。
改良により、解析精度、サーチ速度、
サーチ距離が向上した。","敵情報解析装置。
装備すると、ミッション遂行に役立つ、
敵に関する様々な情報を表示する。","高品質レンジファインダーカメラ。
装備するとファインダーを覗き、
<I=ATK>でシャッターを切る。
撮影した画像はXMB<I=TM>から閲覧可能。",,"敌情分析装置。
装备后会显示各种有助于执行任务的敌方信息。",,MATCH,128,85,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_ITEM_TEXT.OLANG,8,13,13;13,2,,page23:tag:entity87:key00000057:ref13:ord0;page174:tag:entity87:key00000057:ref13:ord0,"敵情報解析装置。
装備すると、ミッション遂行に役立つ、
敵に関する様々な情報を表示する。","高品質レンジファインダーカメラ。
装備するとファインダーを覗き、
<I=ATK>でシャッターを切る。
撮影した画像はXMB<I=TM>から閲覧可能。","ヒューイからもらったIDカード。
ストレンジラブの研究施設に
入ることが出来る。",<I=ATK> | <I=TM>,"高品质测距相机。
装备后可通过取景器观察，按<I=ATK>释放快门。
拍摄的照片可从XMB<I=TM>中查看。",<I=ATK> | <I=TM>,MATCH,184,129,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=JPN_CONTROLS_PRESERVED
LANG_ITEM_TEXT.OLANG,9,14,14;14,2,,page23:tag:entity86:key00000056:ref14:ord0;page174:tag:entity86:key00000056:ref14:ord0,"高品質レンジファインダーカメラ。
装備するとファインダーを覗き、
<I=ATK>でシャッターを切る。
撮影した画像はXMB<I=TM>から閲覧可能。","ヒューイからもらったIDカード。
ストレンジラブの研究施設に
入ることが出来る。","ストレンジラブ博士からかすめ取ったIDカード。
施設内部の施錠関連で利用できると思われるが、
具体的な場所は不明。",,"从Huey处获得的ID卡。
可以进入Strangelove的研究设施。",,MATCH,112,69,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
