file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
LANG_MYOUTER_STAFF_SKILL.OLANG,0,0,0,1,,page174:tag:entity77:key00CAFF60:ref0:ord0,,四つ星コック,大和魂,,四星厨师,,MATCH,18,12,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1
LANG_MYOUTER_STAFF_SKILL.OLANG,1,1,1,1,,page174:tag:entity43:key007A85C0:ref1:ord0,四つ星コック,大和魂,薬剤師,,大和魂,,MATCH,9,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1; review_flag=JPN_大和魂_PRESERVED; AUX_JAPANESE_PATRIOT_NOT_FORCED; DISTINCT_FROM_JPN_愛国者_ROW35
LANG_MYOUTER_STAFF_SKILL.OLANG,2,2,2,1,,page174:tag:entity59:key009D01B9:ref2:ord0,大和魂,薬剤師,チャネラー,,药剂师,,MATCH,9,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1
LANG_MYOUTER_STAFF_SKILL.OLANG,3,3,3,1,,page174:tag:entity6:key00205445:ref3:ord0,薬剤師,チャネラー,対戦車ライフル設計,,通灵者,,MATCH,15,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1
LANG_MYOUTER_STAFF_SKILL.OLANG,4,4,4,1,,page174:tag:entity84:key00F01D9B:ref4:ord0,チャネラー,対戦車ライフル設計,専門薬剤師,,反坦克步枪设计,,MATCH,27,21,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1
LANG_MYOUTER_STAFF_SKILL.OLANG,5,7,7,1,,page174:tag:entity60:key009E984E:ref7:ord0,対戦車ライフル設計,専門薬剤師,声優,,专家药剂师,,MATCH,15,15,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1
LANG_MYOUTER_STAFF_SKILL.OLANG,6,8,8,1,,page174:tag:entity26:key00572982:ref8:ord0,専門薬剤師,声優,プロレスマニア,,配音演员,,MATCH,6,12,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1
LANG_MYOUTER_STAFF_SKILL.OLANG,7,10,10,1,,page174:tag:entity10:key00332E1C:ref10:ord0,声優,プロレスマニア,囮,,职业摔角狂热者,,MATCH,21,21,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1
LANG_MYOUTER_STAFF_SKILL.OLANG,8,11,11,1,,page174:tag:entity51:key00895999:ref11:ord0,プロレスマニア,囮,熱血漢,,诱饵,,MATCH,3,6,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1
LANG_MYOUTER_STAFF_SKILL.OLANG,9,13,13,1,,page174:tag:entity16:key00427B3D:ref13:ord0,囮,熱血漢,内科医,,热血汉,,MATCH,9,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1; review_flag=JPN_熱血漢_LOCALIZED_DIRECTLY; AUX_GUNG_HO_NOT_FORCED
