file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
5DCE245C,0,0,0;37;74,3,,page829:tag2:entity99:key00000063:ref0:ord0;page829:tag2:entity65:key00000041:ref37:ord0;page829:tag2:entity31:key0000001F:ref74:ord0,,ウェポンコンテナ破損,脚部損傷,,武器舱损坏,,MATCH,30,15,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=3; review_flag=JPN_PRIMARY
5DCE245C,1,1,1;38;75,3,,page829:tag2:entity98:key00000062:ref1:ord0;page829:tag2:entity64:key00000040:ref38:ord0;page829:tag2:entity30:key0000001E:ref75:ord0,ウェポンコンテナ破損,脚部損傷,発射30秒前！,,腿部受损,,MATCH,12,12,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=3; review_flag=JPN_PRIMARY
5DCE245C,2,2,2,1,,page829:tag2:entity97:key00000061:ref2:ord0,脚部損傷,発射30秒前！,発射１分前！,,发射前30秒！,,MATCH,17,17,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY
5DCE245C,3,3,3,1,,page829:tag2:entity96:key00000060:ref3:ord0,発射30秒前！,発射１分前！,発射3分前！,,发射前1分钟！,,MATCH,18,19,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY
5DCE245C,4,4,4,1,,page829:tag2:entity95:key0000005F:ref4:ord0,発射１分前！,発射3分前！,発射,,发射前3分钟！,,MATCH,16,19,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PRIMARY
5DCE245C,5,5,5;42;80,3,,page829:tag2:entity94:key0000005E:ref5:ord0;page829:tag2:entity60:key0000003C:ref42:ord0;page829:tag2:entity26:key0000001A:ref80:ord0,発射3分前！,発射,1,,发射,,MATCH,6,6,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=3; review_flag=JPN_PRIMARY;AUX_EXCLAMATION_NOT_IMPORTED
5DCE245C,6,6,6;44;81,3,,page829:tag2:entity93:key0000005D:ref6:ord0;page829:tag2:entity59:key0000003B:ref44:ord0;page829:tag2:entity25:key00000019:ref81:ord0,発射,1,2,,1,,MATCH,1,1,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=3; review_flag=JPN_PRIMARY;AUX_EXCLAMATION_NOT_IMPORTED
5DCE245C,7,7,7;45;82,3,,page829:tag2:entity92:key0000005C:ref7:ord0;page829:tag2:entity58:key0000003A:ref45:ord0;page829:tag2:entity24:key00000018:ref82:ord0,1,2,3,,2,,MATCH,1,1,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=3; review_flag=JPN_PRIMARY;AUX_EXCLAMATION_NOT_IMPORTED
5DCE245C,8,8,8;46;83,3,,page829:tag2:entity91:key0000005B:ref8:ord0;page829:tag2:entity57:key00000039:ref46:ord0;page829:tag2:entity23:key00000017:ref83:ord0,2,3,4,,3,,MATCH,1,1,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=3; review_flag=JPN_PRIMARY;AUX_EXCLAMATION_NOT_IMPORTED
5DCE245C,9,9,9;47;84,3,,page829:tag2:entity90:key0000005A:ref9:ord0;page829:tag2:entity56:key00000038:ref47:ord0;page829:tag2:entity22:key00000016:ref84:ord0,3,4,電磁パルス最大,,4,,MATCH,1,1,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=3; review_flag=JPN_PRIMARY;AUX_EXCLAMATION_NOT_IMPORTED
