file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
BRIEFING_FILES_BLOCK_068550,0,stream=0x68000;block=0x550;text=0,"[""stream=0x68000;block=0x550;text=0""]",1,BRIEFING FILES,"[""stream=0x68000;block=0x550;block_file=0x68550;text_base=0x685E0;capacity=3164""]",,"スネーク、どうしよう？　もし、ピースウォーカーの核が、
マザーベースへ発射されたら…。
","落ち着け。それを防ぐために、MSFは全力を挙げてるんだ。
",[],"Snake，怎么办？
要是Peace Walker的核弹朝Mother Base发射……。",,MATCH,128,77,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_068550,1,stream=0x68000;block=0x550;text=1,"[""stream=0x68000;block=0x550;text=1""]",1,BRIEFING FILES,"[""stream=0x68000;block=0x550;block_file=0x68550;text_base=0x685E0;capacity=3164""]","スネーク、どうしよう？　もし、ピースウォーカーの核が、
マザーベースへ発射されたら…。
","落ち着け。それを防ぐために、MSFは全力を挙げてるんだ。
","だって…ピースウォーカーのミサイル弾頭は1Mt<R=級,クラス>なんだ
よ。火球だけでも直径1.5kmを超える。
",[],冷静点。MSF正在全力阻止这种事发生。,,MATCH,79,51,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_068550,2,stream=0x68000;block=0x550;text=2,"[""stream=0x68000;block=0x550;text=2""]",1,BRIEFING FILES,"[""stream=0x68000;block=0x550;block_file=0x68550;text_base=0x685E0;capacity=3164""]","落ち着け。それを防ぐために、MSFは全力を挙げてるんだ。
","だって…ピースウォーカーのミサイル弾頭は1Mt<R=級,クラス>なんだ
よ。火球だけでも直径1.5kmを超える。
","強力な熱線で、爆心近くの物体は蒸発してしまう。それに
時速数100キロの爆風。火災。そして…。
","[""<R=級,クラス>""]","可是……Peace Walker的导弹弹头有1Mt<R=级,CLASS>。
仅仅火球直径就超过1.5公里。","<R=级,CLASS>",MATCH,141,101,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=RUBY_READING_ROMANIZED
BRIEFING_FILES_BLOCK_068550,3,stream=0x68000;block=0x550;text=3,"[""stream=0x68000;block=0x550;text=3""]",1,BRIEFING FILES,"[""stream=0x68000;block=0x550;block_file=0x68550;text_base=0x685E0;capacity=3164""]","だって…ピースウォーカーのミサイル弾頭は1Mt<R=級,クラス>なんだ
よ。火球だけでも直径1.5kmを超える。
","強力な熱線で、爆心近くの物体は蒸発してしまう。それに
時速数100キロの爆風。火災。そして…。
","初期核放射による大量被曝、か？
",[],"强烈的热辐射会让爆心附近的物体蒸发。
还有时速数百公里的冲击波、火灾，以及……。",,MATCH,134,118,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_068550,4,stream=0x68000;block=0x550;text=4,"[""stream=0x68000;block=0x550;text=4""]",1,BRIEFING FILES,"[""stream=0x68000;block=0x550;block_file=0x68550;text_base=0x685E0;capacity=3164""]","強力な熱線で、爆心近くの物体は蒸発してしまう。それに
時速数100キロの爆風。火災。そして…。
","初期核放射による大量被曝、か？
","そうさ。誰一人、生き残れやしない。
",[],初始核辐射造成的大剂量照射，对吧？,,MATCH,46,51,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_068550,5,stream=0x68000;block=0x550;text=5,"[""stream=0x68000;block=0x550;text=5""]",1,BRIEFING FILES,"[""stream=0x68000;block=0x550;block_file=0x68550;text_base=0x685E0;capacity=3164""]","初期核放射による大量被曝、か？
","そうさ。誰一人、生き残れやしない。
","そんなことはわかってる。
",[],没错。一个人都活不下来。,,MATCH,52,36,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_068550,6,stream=0x68000;block=0x550;text=6,"[""stream=0x68000;block=0x550;text=6""]",1,BRIEFING FILES,"[""stream=0x68000;block=0x550;block_file=0x68550;text_base=0x685E0;capacity=3164""]","そうさ。誰一人、生き残れやしない。
","そんなことはわかってる。
","いいか博士。あれはお前が作った兵器だ。お前が一番、そ
の威力を知っているはずだ。
",[],这种事我知道。,,MATCH,37,21,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_068550,7,stream=0x68000;block=0x550;text=7,"[""stream=0x68000;block=0x550;text=7""]",1,BRIEFING FILES,"[""stream=0x68000;block=0x550;block_file=0x68550;text_base=0x685E0;capacity=3164""]","そんなことはわかってる。
","いいか博士。あれはお前が作った兵器だ。お前が一番、そ
の威力を知っているはずだ。
","まずは冷静に、科学的に被害を見積もってくれ。核爆発と
もなれば、事はMSFだけの問題じゃなくなる。
",[],听着，博士。那是你造出来的兵器。你应该比任何人都清楚它的威力。,,MATCH,119,93,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_068550,8,stream=0x68000;block=0x550;text=8,"[""stream=0x68000;block=0x550;text=8""]",1,BRIEFING FILES,"[""stream=0x68000;block=0x550;block_file=0x68550;text_base=0x685E0;capacity=3164""]","いいか博士。あれはお前が作った兵器だ。お前が一番、そ
の威力を知っているはずだ。
","まずは冷静に、科学的に被害を見積もってくれ。核爆発と
もなれば、事はMSFだけの問題じゃなくなる。
","そうだね…。ごめん、僕としたことが取り乱したよ。
",[],"先冷静下来，从科学角度估算损害。
一旦发生核爆炸，就不再只是MSF自己的问题。",,MATCH,140,109,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_068550,9,stream=0x68000;block=0x550;text=9,"[""stream=0x68000;block=0x550;text=9""]",1,BRIEFING FILES,"[""stream=0x68000;block=0x550;block_file=0x68550;text_base=0x685E0;capacity=3164""]","まずは冷静に、科学的に被害を見積もってくれ。核爆発と
もなれば、事はMSFだけの問題じゃなくなる。
","そうだね…。ごめん、僕としたことが取り乱したよ。
","さっきも言った通り、マザーベースは全滅するだろう。周
囲の船舶も巻き込まれる恐れがある。警告しておく必要が
あるだろうね。
",[],说得对……抱歉，我竟然慌成这样。,,MATCH,73,48,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
