file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes,mlg_cn_reference,mlg_cn_reference_variants,eng_reference,eng_reference_variants,reference_status,reference_method,reference_reason
LANG_STAGETELOP.OLANG,0,0,0;0,2,,page156:tag:entity0:key00C0CE51:ref0:ord0;page168:tag:entity0:key00C0CE51:ref0:ord0,,LOADING POINT,MSF基地,,,,NOT_CHECKED,13,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2,,[],LOADING POINT,"[""LOADING POINT""]",AUX_UNCHANGED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,auxiliary bank retains the original JPN text; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_STAGETELOP.OLANG,1,1,1;1,2,,page156:tag:entity1:key0008F1C2:ref1:ord0;page168:tag:entity1:key0008F1C2:ref1:ord0,LOADING POINT,MSF基地,NEXT AREA [ MSF BASE ],,,,NOT_CHECKED,9,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2,,[],MSF Base,"[""MSF Base""]",AUX_UNCHANGED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,auxiliary bank retains the original JPN text; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_STAGETELOP.OLANG,2,2,2;2,2,,page156:tag:entity2:key0012A0D1:ref2:ord0;page168:tag:entity2:key0012A0D1:ref2:ord0,MSF基地,NEXT AREA [ MSF BASE ],プラヤ・デル・アルバ,,,,NOT_CHECKED,22,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2,NEXT AREA:,"[""NEXT AREA:""]",NEXT AREA:,"[""NEXT AREA:""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_STAGETELOP.OLANG,3,3,3;3,2,,page156:tag:entity3:key0008F1C2:ref3:ord0;page168:tag:entity3:key0008F1C2:ref3:ord0,NEXT AREA [ MSF BASE ],プラヤ・デル・アルバ,NEXT AREA [ PLAYA DEL ALBA ],,,,NOT_CHECKED,30,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2,破晓海滩,"[""破晓海滩""]",Playa del Alba,"[""Playa del Alba""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_STAGETELOP.OLANG,4,4,4;4,2,,page156:tag:entity4:key0012A0D1:ref4:ord0;page168:tag:entity4:key0012A0D1:ref4:ord0,プラヤ・デル・アルバ,NEXT AREA [ PLAYA DEL ALBA ],ボスケ・デル・アルバ,,,,NOT_CHECKED,28,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2,NEXT AREA:,"[""NEXT AREA:""]",NEXT AREA:,"[""NEXT AREA:""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_STAGETELOP.OLANG,5,5,5;5,2,,page156:tag:entity5:key0008F1C2:ref5:ord0;page168:tag:entity5:key0008F1C2:ref5:ord0,NEXT AREA [ PLAYA DEL ALBA ],ボスケ・デル・アルバ,NEXT AREA [ BOSQUE DEL ALBA ],,,,NOT_CHECKED,30,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2,破晓森林,"[""破晓森林""]",Bosque del Alba,"[""Bosque del Alba""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_STAGETELOP.OLANG,6,6,6;6,2,,page156:tag:entity6:key0012A0D1:ref6:ord0;page168:tag:entity6:key0012A0D1:ref6:ord0,ボスケ・デル・アルバ,NEXT AREA [ BOSQUE DEL ALBA ],プエルト・デル・アルバ,,,,NOT_CHECKED,29,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2,NEXT AREA:,"[""NEXT AREA:""]",NEXT AREA:,"[""NEXT AREA:""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_STAGETELOP.OLANG,7,7,7;7,2,,page156:tag:entity7:key0008F1C2:ref7:ord0;page168:tag:entity7:key0008F1C2:ref7:ord0,NEXT AREA [ BOSQUE DEL ALBA ],プエルト・デル・アルバ,NEXT AREA [ PUERTO DEL ALBA ],,,,NOT_CHECKED,33,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2,破晓港,"[""破晓港""]",Puerto del Alba,"[""Puerto del Alba""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_STAGETELOP.OLANG,8,8,8;8,2,,page156:tag:entity8:key0012A0D1:ref8:ord0;page168:tag:entity8:key0012A0D1:ref8:ord0,プエルト・デル・アルバ,NEXT AREA [ PUERTO DEL ALBA ],エル・セナガル / ジャングル,,,,NOT_CHECKED,29,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2,NEXT AREA:,"[""NEXT AREA:""]",NEXT AREA:,"[""NEXT AREA:""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_STAGETELOP.OLANG,9,9,9;9,2,,page156:tag:entity9:key0008F1C2:ref9:ord0;page168:tag:entity9:key0008F1C2:ref9:ord0,NEXT AREA [ PUERTO DEL ALBA ],エル・セナガル / ジャングル,NEXT AREA [ EL CENAGAL: JUNGLE ],,,,NOT_CHECKED,39,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2,泥沼：丛林,"[""泥沼：丛林""]",El Cenagal: Jungle,"[""El Cenagal: Jungle""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_STAGETELOP.OLANG,10,10,10;10,2,,page156:tag:entity10:key0012A0D1:ref10:ord0;page168:tag:entity10:key0012A0D1:ref10:ord0,エル・セナガル / ジャングル,NEXT AREA [ EL CENAGAL: JUNGLE ],エル・セナガル / 峡谷,,,,NOT_CHECKED,32,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2,NEXT AREA:,"[""NEXT AREA:""]",NEXT AREA:,"[""NEXT AREA:""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_STAGETELOP.OLANG,11,11,11;11,2,,page156:tag:entity11:key0008F1C2:ref11:ord0;page168:tag:entity11:key0008F1C2:ref11:ord0,NEXT AREA [ EL CENAGAL: JUNGLE ],エル・セナガル / 峡谷,NEXT AREA [ EL CENAGAL: RAVINE ],,,,NOT_CHECKED,30,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2,泥沼：峡谷,"[""泥沼：峡谷""]",El Cenagal: Ravine,"[""El Cenagal: Ravine""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
