file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
BRIEFING_FILES_BLOCK_05D6C0,0,stream=0x5D000;block=0x6C0;text=0,"[""stream=0x5D000;block=0x6C0;text=0""]",1,BRIEFING FILES,"[""stream=0x5D000;block=0x6C0;block_file=0x5D6C0;text_base=0x5D714;capacity=1248""]",,"マイコドリのことは知ってる？
","いや、聞いたことがない。
",[],你知道娇鹟吗？,,MATCH,43,21,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_05D6C0,1,stream=0x5D000;block=0x6C0;text=1,"[""stream=0x5D000;block=0x6C0;text=1""]",1,BRIEFING FILES,"[""stream=0x5D000;block=0x6C0;block_file=0x5D6C0;text_base=0x5D714;capacity=1248""]","マイコドリのことは知ってる？
","いや、聞いたことがない。
","そうなの？　せっかくコスタリカに来たのに、もったいな
い！
",[],不，没听说过。,,MATCH,37,21,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_05D6C0,2,stream=0x5D000;block=0x6C0;text=2,"[""stream=0x5D000;block=0x6C0;text=2""]",1,BRIEFING FILES,"[""stream=0x5D000;block=0x6C0;block_file=0x5D6C0;text_base=0x5D714;capacity=1248""]","いや、聞いたことがない。
","そうなの？　せっかくコスタリカに来たのに、もったいな
い！
","いや、俺は鳥を見に来たわけじゃ…。
",[],是吗？难得都来到哥斯达黎加了，太可惜了！,,MATCH,86,60,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_05D6C0,3,stream=0x5D000;block=0x6C0;text=3,"[""stream=0x5D000;block=0x6C0;text=3""]",1,BRIEFING FILES,"[""stream=0x5D000;block=0x6C0;block_file=0x5D6C0;text_base=0x5D714;capacity=1248""]","そうなの？　せっかくコスタリカに来たのに、もったいな
い！
","いや、俺は鳥を見に来たわけじゃ…。
","マイコドリは求愛のダンスが美しいことで知られてるの。
",[],不，我又不是来看鸟的……。,,MATCH,52,39,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_05D6C0,4,stream=0x5D000;block=0x6C0;text=4,"[""stream=0x5D000;block=0x6C0;text=4""]",1,BRIEFING FILES,"[""stream=0x5D000;block=0x6C0;block_file=0x5D6C0;text_base=0x5D714;capacity=1248""]","いや、俺は鳥を見に来たわけじゃ…。
","マイコドリは求愛のダンスが美しいことで知られてるの。
","コスタリカの太平洋側にはオレンジマイコドリ、カリブ海
側にはシロクロマイコドリ、中央盆地にはオナガセアオマ
イコドリが生息してると言われてる。
",[],娇鹟以优美的求偶舞而闻名。,,MATCH,79,39,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_05D6C0,5,stream=0x5D000;block=0x6C0;text=5,"[""stream=0x5D000;block=0x6C0;text=5""]",1,BRIEFING FILES,"[""stream=0x5D000;block=0x6C0;block_file=0x5D6C0;text_base=0x5D714;capacity=1248""]","マイコドリは求愛のダンスが美しいことで知られてるの。
","コスタリカの太平洋側にはオレンジマイコドリ、カリブ海
側にはシロクロマイコドリ、中央盆地にはオナガセアオマ
イコドリが生息してると言われてる。
","中でも特徴的なのはオナガセアオマイコドリね。
",[],据说哥斯达黎加太平洋一侧栖息着橙领娇鹟，加勒比海一侧有白领娇鹟，中央盆地则有长尾娇鹟。,,MATCH,210,129,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_05D6C0,6,stream=0x5D000;block=0x6C0;text=6,"[""stream=0x5D000;block=0x6C0;text=6""]",1,BRIEFING FILES,"[""stream=0x5D000;block=0x6C0;block_file=0x5D6C0;text_base=0x5D714;capacity=1248""]","コスタリカの太平洋側にはオレンジマイコドリ、カリブ海
側にはシロクロマイコドリ、中央盆地にはオナガセアオマ
イコドリが生息してると言われてる。
","中でも特徴的なのはオナガセアオマイコドリね。
","どう特徴的なんだ？
",[],其中最有特点的就是长尾娇鹟。,,MATCH,67,42,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_05D6C0,7,stream=0x5D000;block=0x6C0;text=7,"[""stream=0x5D000;block=0x6C0;text=7""]",1,BRIEFING FILES,"[""stream=0x5D000;block=0x6C0;block_file=0x5D6C0;text_base=0x5D714;capacity=1248""]","中でも特徴的なのはオナガセアオマイコドリね。
","どう特徴的なんだ？
","彼らはまず、先輩のオスに弟子入りしてダンスを学ぶのよ。
そしてグループになってメスにダンスを見せる。
",[],有什么特别的？,,MATCH,28,21,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_05D6C0,8,stream=0x5D000;block=0x6C0;text=8,"[""stream=0x5D000;block=0x6C0;text=8""]",1,BRIEFING FILES,"[""stream=0x5D000;block=0x6C0;block_file=0x5D6C0;text_base=0x5D714;capacity=1248""]","どう特徴的なんだ？
","彼らはまず、先輩のオスに弟子入りしてダンスを学ぶのよ。
そしてグループになってメスにダンスを見せる。
","でも、晴れてメスと結ばれるのは師匠だけ。弟子達は7年
間技術を学んで、それから独立して今度は自分が弟子を集
めなくちゃならない。
",[],它们会先拜资深雄鸟为师，学习舞蹈。然后组成一群，在雌鸟面前展示舞姿。,,MATCH,149,102,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_05D6C0,9,stream=0x5D000;block=0x6C0;text=9,"[""stream=0x5D000;block=0x6C0;text=9""]",1,BRIEFING FILES,"[""stream=0x5D000;block=0x6C0;block_file=0x5D6C0;text_base=0x5D714;capacity=1248""]","彼らはまず、先輩のオスに弟子入りしてダンスを学ぶのよ。
そしてグループになってメスにダンスを見せる。
","でも、晴れてメスと結ばれるのは師匠だけ。弟子達は7年
間技術を学んで、それから独立して今度は自分が弟子を集
めなくちゃならない。
","7年間…どんなことでも一人前になるには時間がかかる、
ということか。ダンサーでも、兵士でも。
",[],不过，最后真正能和雌鸟配对的只有师父。徒弟们要学习7年技巧，之后才能独立，再由自己招收徒弟。,,MATCH,187,136,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
