file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes,mlg_cn_reference,mlg_cn_reference_variants,eng_reference,eng_reference_variants,reference_status,reference_method,reference_reason
5DB83C7B,0,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,32,,page88:tag10:entity0:key0084E412:ref0:ord0;page100:tag9:entity0:key0084E412:ref0:ord0;page106:tag9:entity0:key0084E412:ref0:ord0;page112:tag8:entity0:key0084E412:ref0:ord0;page118:tag9:entity0:key0084E412:ref0:ord0;page124:tag8:entity0:key0084E412:ref0:ord0;page148:tag8:entity0:key0084E412:ref0:ord0;page154:tag9:entity0:key0084E412:ref0:ord0;page178:tag8:entity0:key0084E412:ref0:ord0;page184:tag8:entity0:key0084E412:ref0:ord0;page202:tag8:entity0:key0084E412:ref0:ord0;page208:tag8:entity0:key0084E412:ref0:ord0;page220:tag10:entity0:key0084E412:ref0:ord0;page226:tag8:entity0:key0084E412:ref0:ord0;page232:tag9:entity0:key0084E412:ref0:ord0;page244:tag8:entity0:key0084E412:ref0:ord0;page250:tag10:entity0:key0084E412:ref0:ord0;page256:tag7:entity0:key0084E412:ref0:ord0;page268:tag8:entity0:key0084E412:ref0:ord0;page274:tag8:entity0:key0084E412:ref0:ord0;page280:tag9:entity0:key0084E412:ref0:ord0;page286:tag9:entity0:key0084E412:ref0:ord0;page292:tag9:entity0:key0084E412:ref0:ord0;page298:tag9:entity0:key0084E412:ref0:ord0;page304:tag8:entity0:key0084E412:ref0:ord0;page310:tag9:entity0:key0084E412:ref0:ord0;page316:tag8:entity0:key0084E412:ref0:ord0;page328:tag8:entity0:key0084E412:ref0:ord0;page334:tag10:entity0:key0084E412:ref0:ord0;page340:tag10:entity0:key0084E412:ref0:ord0;page346:tag7:entity0:key0084E412:ref0:ord0;page364:tag8:entity0:key0084E412:ref0:ord0,, ,REMAINING CLAYMORES,,,,NOT_CHECKED,1,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=32,,[], ,"["" ""]",AUX_UNCHANGED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,auxiliary bank retains the original JPN text; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5DB83C7B,1,1,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,32,,page88:tag10:entity1:key0084E412:ref1:ord0;page100:tag9:entity1:key0084E412:ref1:ord0;page106:tag9:entity1:key0084E412:ref1:ord0;page112:tag8:entity1:key0084E412:ref1:ord0;page118:tag9:entity1:key0084E412:ref1:ord0;page124:tag8:entity1:key0084E412:ref1:ord0;page148:tag8:entity1:key0084E412:ref1:ord0;page154:tag9:entity1:key0084E412:ref1:ord0;page178:tag8:entity1:key0084E412:ref1:ord0;page184:tag8:entity1:key0084E412:ref1:ord0;page202:tag8:entity1:key0084E412:ref1:ord0;page208:tag8:entity1:key0084E412:ref1:ord0;page220:tag10:entity1:key0084E412:ref1:ord0;page226:tag8:entity1:key0084E412:ref1:ord0;page232:tag9:entity1:key0084E412:ref1:ord0;page244:tag8:entity1:key0084E412:ref1:ord0;page250:tag10:entity1:key0084E412:ref1:ord0;page256:tag7:entity1:key0084E412:ref1:ord0;page268:tag8:entity1:key0084E412:ref1:ord0;page274:tag8:entity1:key0084E412:ref1:ord0;page280:tag9:entity1:key0084E412:ref1:ord0;page286:tag9:entity1:key0084E412:ref1:ord0;page292:tag9:entity1:key0084E412:ref1:ord0;page298:tag9:entity1:key0084E412:ref1:ord0;page304:tag8:entity1:key0084E412:ref1:ord0;page310:tag9:entity1:key0084E412:ref1:ord0;page316:tag8:entity1:key0084E412:ref1:ord0;page328:tag8:entity1:key0084E412:ref1:ord0;page334:tag10:entity1:key0084E412:ref1:ord0;page340:tag10:entity1:key0084E412:ref1:ord0;page346:tag7:entity1:key0084E412:ref1:ord0;page364:tag8:entity1:key0084E412:ref1:ord0, ,REMAINING CLAYMORES,REMAINING ITEMS,,,,NOT_CHECKED,19,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=32,,[],REMAINING CLAYMORES,"[""REMAINING CLAYMORES""]",AUX_UNCHANGED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,auxiliary bank retains the original JPN text; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5DB83C7B,2,2,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2,32,,page88:tag10:entity2:key0084E412:ref2:ord0;page100:tag9:entity2:key0084E412:ref2:ord0;page106:tag9:entity2:key0084E412:ref2:ord0;page112:tag8:entity2:key0084E412:ref2:ord0;page118:tag9:entity2:key0084E412:ref2:ord0;page124:tag8:entity2:key0084E412:ref2:ord0;page148:tag8:entity2:key0084E412:ref2:ord0;page154:tag9:entity2:key0084E412:ref2:ord0;page178:tag8:entity2:key0084E412:ref2:ord0;page184:tag8:entity2:key0084E412:ref2:ord0;page202:tag8:entity2:key0084E412:ref2:ord0;page208:tag8:entity2:key0084E412:ref2:ord0;page220:tag10:entity2:key0084E412:ref2:ord0;page226:tag8:entity2:key0084E412:ref2:ord0;page232:tag9:entity2:key0084E412:ref2:ord0;page244:tag8:entity2:key0084E412:ref2:ord0;page250:tag10:entity2:key0084E412:ref2:ord0;page256:tag7:entity2:key0084E412:ref2:ord0;page268:tag8:entity2:key0084E412:ref2:ord0;page274:tag8:entity2:key0084E412:ref2:ord0;page280:tag9:entity2:key0084E412:ref2:ord0;page286:tag9:entity2:key0084E412:ref2:ord0;page292:tag9:entity2:key0084E412:ref2:ord0;page298:tag9:entity2:key0084E412:ref2:ord0;page304:tag8:entity2:key0084E412:ref2:ord0;page310:tag9:entity2:key0084E412:ref2:ord0;page316:tag8:entity2:key0084E412:ref2:ord0;page328:tag8:entity2:key0084E412:ref2:ord0;page334:tag10:entity2:key0084E412:ref2:ord0;page340:tag10:entity2:key0084E412:ref2:ord0;page346:tag7:entity2:key0084E412:ref2:ord0;page364:tag8:entity2:key0084E412:ref2:ord0,REMAINING CLAYMORES,REMAINING ITEMS,REST,,,,NOT_CHECKED,15,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=32,,[],REMAINING ITEMS,"[""REMAINING ITEMS""]",AUX_UNCHANGED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,auxiliary bank retains the original JPN text; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5DB83C7B,3,3,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,32,,page88:tag10:entity3:key0084E412:ref3:ord0;page100:tag9:entity3:key0084E412:ref3:ord0;page106:tag9:entity3:key0084E412:ref3:ord0;page112:tag8:entity3:key0084E412:ref3:ord0;page118:tag9:entity3:key0084E412:ref3:ord0;page124:tag8:entity3:key0084E412:ref3:ord0;page148:tag8:entity3:key0084E412:ref3:ord0;page154:tag9:entity3:key0084E412:ref3:ord0;page178:tag8:entity3:key0084E412:ref3:ord0;page184:tag8:entity3:key0084E412:ref3:ord0;page202:tag8:entity3:key0084E412:ref3:ord0;page208:tag8:entity3:key0084E412:ref3:ord0;page220:tag10:entity3:key0084E412:ref3:ord0;page226:tag8:entity3:key0084E412:ref3:ord0;page232:tag9:entity3:key0084E412:ref3:ord0;page244:tag8:entity3:key0084E412:ref3:ord0;page250:tag10:entity3:key0084E412:ref3:ord0;page256:tag7:entity3:key0084E412:ref3:ord0;page268:tag8:entity3:key0084E412:ref3:ord0;page274:tag8:entity3:key0084E412:ref3:ord0;page280:tag9:entity3:key0084E412:ref3:ord0;page286:tag9:entity3:key0084E412:ref3:ord0;page292:tag9:entity3:key0084E412:ref3:ord0;page298:tag9:entity3:key0084E412:ref3:ord0;page304:tag8:entity3:key0084E412:ref3:ord0;page310:tag9:entity3:key0084E412:ref3:ord0;page316:tag8:entity3:key0084E412:ref3:ord0;page328:tag8:entity3:key0084E412:ref3:ord0;page334:tag10:entity3:key0084E412:ref3:ord0;page340:tag10:entity3:key0084E412:ref3:ord0;page346:tag7:entity3:key0084E412:ref3:ord0;page364:tag8:entity3:key0084E412:ref3:ord0,REMAINING ITEMS,REST,KEY ITEM GET NUMBER,,,,NOT_CHECKED,4,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=32,,[],REST,"[""REST""]",AUX_UNCHANGED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,auxiliary bank retains the original JPN text; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5DB83C7B,4,4,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4,32,,page88:tag10:entity4:key0084E412:ref4:ord0;page100:tag9:entity4:key0084E412:ref4:ord0;page106:tag9:entity4:key0084E412:ref4:ord0;page112:tag8:entity4:key0084E412:ref4:ord0;page118:tag9:entity4:key0084E412:ref4:ord0;page124:tag8:entity4:key0084E412:ref4:ord0;page148:tag8:entity4:key0084E412:ref4:ord0;page154:tag9:entity4:key0084E412:ref4:ord0;page178:tag8:entity4:key0084E412:ref4:ord0;page184:tag8:entity4:key0084E412:ref4:ord0;page202:tag8:entity4:key0084E412:ref4:ord0;page208:tag8:entity4:key0084E412:ref4:ord0;page220:tag10:entity4:key0084E412:ref4:ord0;page226:tag8:entity4:key0084E412:ref4:ord0;page232:tag9:entity4:key0084E412:ref4:ord0;page244:tag8:entity4:key0084E412:ref4:ord0;page250:tag10:entity4:key0084E412:ref4:ord0;page256:tag7:entity4:key0084E412:ref4:ord0;page268:tag8:entity4:key0084E412:ref4:ord0;page274:tag8:entity4:key0084E412:ref4:ord0;page280:tag9:entity4:key0084E412:ref4:ord0;page286:tag9:entity4:key0084E412:ref4:ord0;page292:tag9:entity4:key0084E412:ref4:ord0;page298:tag9:entity4:key0084E412:ref4:ord0;page304:tag8:entity4:key0084E412:ref4:ord0;page310:tag9:entity4:key0084E412:ref4:ord0;page316:tag8:entity4:key0084E412:ref4:ord0;page328:tag8:entity4:key0084E412:ref4:ord0;page334:tag10:entity4:key0084E412:ref4:ord0;page340:tag10:entity4:key0084E412:ref4:ord0;page346:tag7:entity4:key0084E412:ref4:ord0;page364:tag8:entity4:key0084E412:ref4:ord0,REST,KEY ITEM GET NUMBER,REMAINING TARGETS,,,,NOT_CHECKED,19,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=32,,[],KEY ITEM GET NUMBER,"[""KEY ITEM GET NUMBER""]",AUX_UNCHANGED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,auxiliary bank retains the original JPN text; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5DB83C7B,5,5,5;11;5;11;5;11;5;11;5;11;5;11;5;11;5;11;5;11;5;11;5;11;5;11;5;11;5;11;5;11;5;11;5;11;5;11;5;11;5;11;5;11;5;11;5;11;5;11;5;11;5;11;5;11;5;11;5;11;5;11;5;11;5;11,64,,page88:tag10:entity5:key0084E412:ref5:ord0;page88:tag10:entity11:key0084E412:ref11:ord0;page100:tag9:entity5:key0084E412:ref5:ord0;page100:tag9:entity11:key0084E412:ref11:ord0;page106:tag9:entity5:key0084E412:ref5:ord0;page106:tag9:entity11:key0084E412:ref11:ord0;page112:tag8:entity5:key0084E412:ref5:ord0;page112:tag8:entity11:key0084E412:ref11:ord0;page118:tag9:entity5:key0084E412:ref5:ord0;page118:tag9:entity11:key0084E412:ref11:ord0;page124:tag8:entity5:key0084E412:ref5:ord0;page124:tag8:entity11:key0084E412:ref11:ord0;page148:tag8:entity5:key0084E412:ref5:ord0;page148:tag8:entity11:key0084E412:ref11:ord0;page154:tag9:entity5:key0084E412:ref5:ord0;page154:tag9:entity11:key0084E412:ref11:ord0;page178:tag8:entity5:key0084E412:ref5:ord0;page178:tag8:entity11:key0084E412:ref11:ord0;page184:tag8:entity5:key0084E412:ref5:ord0;page184:tag8:entity11:key0084E412:ref11:ord0;page202:tag8:entity5:key0084E412:ref5:ord0;page202:tag8:entity11:key0084E412:ref11:ord0;page208:tag8:entity5:key0084E412:ref5:ord0;page208:tag8:entity11:key0084E412:ref11:ord0;page220:tag10:entity5:key0084E412:ref5:ord0;page220:tag10:entity11:key0084E412:ref11:ord0;page226:tag8:entity5:key0084E412:ref5:ord0;page226:tag8:entity11:key0084E412:ref11:ord0;page232:tag9:entity5:key0084E412:ref5:ord0;page232:tag9:entity11:key0084E412:ref11:ord0;page244:tag8:entity5:key0084E412:ref5:ord0;page244:tag8:entity11:key0084E412:ref11:ord0;page250:tag10:entity5:key0084E412:ref5:ord0;page250:tag10:entity11:key0084E412:ref11:ord0;page256:tag7:entity5:key0084E412:ref5:ord0;page256:tag7:entity11:key0084E412:ref11:ord0;page268:tag8:entity5:key0084E412:ref5:ord0;page268:tag8:entity11:key0084E412:ref11:ord0;page274:tag8:entity5:key0084E412:ref5:ord0;page274:tag8:entity11:key0084E412:ref11:ord0;page280:tag9:entity5:key0084E412:ref5:ord0;page280:tag9:entity11:key0084E412:ref11:ord0;page286:tag9:entity5:key0084E412:ref5:ord0;page286:tag9:entity11:key0084E412:ref11:ord0;page292:tag9:entity5:key0084E412:ref5:ord0;page292:tag9:entity11:key0084E412:ref11:ord0;page298:tag9:entity5:key0084E412:ref5:ord0;page298:tag9:entity11:key0084E412:ref11:ord0;page304:tag8:entity5:key0084E412:ref5:ord0;page304:tag8:entity11:key0084E412:ref11:ord0;page310:tag9:entity5:key0084E412:ref5:ord0;page310:tag9:entity11:key0084E412:ref11:ord0;page316:tag8:entity5:key0084E412:ref5:ord0;page316:tag8:entity11:key0084E412:ref11:ord0;page328:tag8:entity5:key0084E412:ref5:ord0;page328:tag8:entity11:key0084E412:ref11:ord0;page334:tag10:entity5:key0084E412:ref5:ord0;page334:tag10:entity11:key0084E412:ref11:ord0;page340:tag10:entity5:key0084E412:ref5:ord0;page340:tag10:entity11:key0084E412:ref11:ord0;page346:tag7:entity5:key0084E412:ref5:ord0;page346:tag7:entity11:key0084E412:ref11:ord0;page364:tag8:entity5:key0084E412:ref5:ord0;page364:tag8:entity11:key0084E412:ref11:ord0,KEY ITEM GET NUMBER,REMAINING TARGETS,OCCUPIED BASES,,,,NOT_CHECKED,17,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=64,,[],REMAINING TARGETS,"[""REMAINING TARGETS""]",AUX_UNCHANGED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,auxiliary bank retains the original JPN text; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5DB83C7B,6,6,6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6,32,,page88:tag10:entity6:key0084E412:ref6:ord0;page100:tag9:entity6:key0084E412:ref6:ord0;page106:tag9:entity6:key0084E412:ref6:ord0;page112:tag8:entity6:key0084E412:ref6:ord0;page118:tag9:entity6:key0084E412:ref6:ord0;page124:tag8:entity6:key0084E412:ref6:ord0;page148:tag8:entity6:key0084E412:ref6:ord0;page154:tag9:entity6:key0084E412:ref6:ord0;page178:tag8:entity6:key0084E412:ref6:ord0;page184:tag8:entity6:key0084E412:ref6:ord0;page202:tag8:entity6:key0084E412:ref6:ord0;page208:tag8:entity6:key0084E412:ref6:ord0;page220:tag10:entity6:key0084E412:ref6:ord0;page226:tag8:entity6:key0084E412:ref6:ord0;page232:tag9:entity6:key0084E412:ref6:ord0;page244:tag8:entity6:key0084E412:ref6:ord0;page250:tag10:entity6:key0084E412:ref6:ord0;page256:tag7:entity6:key0084E412:ref6:ord0;page268:tag8:entity6:key0084E412:ref6:ord0;page274:tag8:entity6:key0084E412:ref6:ord0;page280:tag9:entity6:key0084E412:ref6:ord0;page286:tag9:entity6:key0084E412:ref6:ord0;page292:tag9:entity6:key0084E412:ref6:ord0;page298:tag9:entity6:key0084E412:ref6:ord0;page304:tag8:entity6:key0084E412:ref6:ord0;page310:tag9:entity6:key0084E412:ref6:ord0;page316:tag8:entity6:key0084E412:ref6:ord0;page328:tag8:entity6:key0084E412:ref6:ord0;page334:tag10:entity6:key0084E412:ref6:ord0;page340:tag10:entity6:key0084E412:ref6:ord0;page346:tag7:entity6:key0084E412:ref6:ord0;page364:tag8:entity6:key0084E412:ref6:ord0,REMAINING TARGETS,OCCUPIED BASES,REMAINING ENEMIES,,,,NOT_CHECKED,14,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=32,,[],OCCUPIED BASES,"[""OCCUPIED BASES""]",AUX_UNCHANGED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,auxiliary bank retains the original JPN text; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5DB83C7B,7,7,7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7,32,,page88:tag10:entity7:key0084E412:ref7:ord0;page100:tag9:entity7:key0084E412:ref7:ord0;page106:tag9:entity7:key0084E412:ref7:ord0;page112:tag8:entity7:key0084E412:ref7:ord0;page118:tag9:entity7:key0084E412:ref7:ord0;page124:tag8:entity7:key0084E412:ref7:ord0;page148:tag8:entity7:key0084E412:ref7:ord0;page154:tag9:entity7:key0084E412:ref7:ord0;page178:tag8:entity7:key0084E412:ref7:ord0;page184:tag8:entity7:key0084E412:ref7:ord0;page202:tag8:entity7:key0084E412:ref7:ord0;page208:tag8:entity7:key0084E412:ref7:ord0;page220:tag10:entity7:key0084E412:ref7:ord0;page226:tag8:entity7:key0084E412:ref7:ord0;page232:tag9:entity7:key0084E412:ref7:ord0;page244:tag8:entity7:key0084E412:ref7:ord0;page250:tag10:entity7:key0084E412:ref7:ord0;page256:tag7:entity7:key0084E412:ref7:ord0;page268:tag8:entity7:key0084E412:ref7:ord0;page274:tag8:entity7:key0084E412:ref7:ord0;page280:tag9:entity7:key0084E412:ref7:ord0;page286:tag9:entity7:key0084E412:ref7:ord0;page292:tag9:entity7:key0084E412:ref7:ord0;page298:tag9:entity7:key0084E412:ref7:ord0;page304:tag8:entity7:key0084E412:ref7:ord0;page310:tag9:entity7:key0084E412:ref7:ord0;page316:tag8:entity7:key0084E412:ref7:ord0;page328:tag8:entity7:key0084E412:ref7:ord0;page334:tag10:entity7:key0084E412:ref7:ord0;page340:tag10:entity7:key0084E412:ref7:ord0;page346:tag7:entity7:key0084E412:ref7:ord0;page364:tag8:entity7:key0084E412:ref7:ord0,OCCUPIED BASES,REMAINING ENEMIES,FAILURE COUNT,,,,NOT_CHECKED,17,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=32,,[],REMAINING ENEMIES,"[""REMAINING ENEMIES""]",AUX_UNCHANGED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,auxiliary bank retains the original JPN text; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5DB83C7B,8,8,8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8,32,,page88:tag10:entity8:key0084E412:ref8:ord0;page100:tag9:entity8:key0084E412:ref8:ord0;page106:tag9:entity8:key0084E412:ref8:ord0;page112:tag8:entity8:key0084E412:ref8:ord0;page118:tag9:entity8:key0084E412:ref8:ord0;page124:tag8:entity8:key0084E412:ref8:ord0;page148:tag8:entity8:key0084E412:ref8:ord0;page154:tag9:entity8:key0084E412:ref8:ord0;page178:tag8:entity8:key0084E412:ref8:ord0;page184:tag8:entity8:key0084E412:ref8:ord0;page202:tag8:entity8:key0084E412:ref8:ord0;page208:tag8:entity8:key0084E412:ref8:ord0;page220:tag10:entity8:key0084E412:ref8:ord0;page226:tag8:entity8:key0084E412:ref8:ord0;page232:tag9:entity8:key0084E412:ref8:ord0;page244:tag8:entity8:key0084E412:ref8:ord0;page250:tag10:entity8:key0084E412:ref8:ord0;page256:tag7:entity8:key0084E412:ref8:ord0;page268:tag8:entity8:key0084E412:ref8:ord0;page274:tag8:entity8:key0084E412:ref8:ord0;page280:tag9:entity8:key0084E412:ref8:ord0;page286:tag9:entity8:key0084E412:ref8:ord0;page292:tag9:entity8:key0084E412:ref8:ord0;page298:tag9:entity8:key0084E412:ref8:ord0;page304:tag8:entity8:key0084E412:ref8:ord0;page310:tag9:entity8:key0084E412:ref8:ord0;page316:tag8:entity8:key0084E412:ref8:ord0;page328:tag8:entity8:key0084E412:ref8:ord0;page334:tag10:entity8:key0084E412:ref8:ord0;page340:tag10:entity8:key0084E412:ref8:ord0;page346:tag7:entity8:key0084E412:ref8:ord0;page364:tag8:entity8:key0084E412:ref8:ord0,REMAINING ENEMIES,FAILURE COUNT,REMAINING MISSILES,,,,NOT_CHECKED,13,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=32,,[],FAILURE COUNT,"[""FAILURE COUNT""]",AUX_UNCHANGED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,auxiliary bank retains the original JPN text; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5DB83C7B,9,9,9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9,32,,page88:tag10:entity9:key0084E412:ref9:ord0;page100:tag9:entity9:key0084E412:ref9:ord0;page106:tag9:entity9:key0084E412:ref9:ord0;page112:tag8:entity9:key0084E412:ref9:ord0;page118:tag9:entity9:key0084E412:ref9:ord0;page124:tag8:entity9:key0084E412:ref9:ord0;page148:tag8:entity9:key0084E412:ref9:ord0;page154:tag9:entity9:key0084E412:ref9:ord0;page178:tag8:entity9:key0084E412:ref9:ord0;page184:tag8:entity9:key0084E412:ref9:ord0;page202:tag8:entity9:key0084E412:ref9:ord0;page208:tag8:entity9:key0084E412:ref9:ord0;page220:tag10:entity9:key0084E412:ref9:ord0;page226:tag8:entity9:key0084E412:ref9:ord0;page232:tag9:entity9:key0084E412:ref9:ord0;page244:tag8:entity9:key0084E412:ref9:ord0;page250:tag10:entity9:key0084E412:ref9:ord0;page256:tag7:entity9:key0084E412:ref9:ord0;page268:tag8:entity9:key0084E412:ref9:ord0;page274:tag8:entity9:key0084E412:ref9:ord0;page280:tag9:entity9:key0084E412:ref9:ord0;page286:tag9:entity9:key0084E412:ref9:ord0;page292:tag9:entity9:key0084E412:ref9:ord0;page298:tag9:entity9:key0084E412:ref9:ord0;page304:tag8:entity9:key0084E412:ref9:ord0;page310:tag9:entity9:key0084E412:ref9:ord0;page316:tag8:entity9:key0084E412:ref9:ord0;page328:tag8:entity9:key0084E412:ref9:ord0;page334:tag10:entity9:key0084E412:ref9:ord0;page340:tag10:entity9:key0084E412:ref9:ord0;page346:tag7:entity9:key0084E412:ref9:ord0;page364:tag8:entity9:key0084E412:ref9:ord0,FAILURE COUNT,REMAINING MISSILES,REMAINING HOSTAGES,,,,NOT_CHECKED,18,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=32,,[],REMAINING MISSILES,"[""REMAINING MISSILES""]",AUX_UNCHANGED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,auxiliary bank retains the original JPN text; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
