file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
BRIEFING_FILES_BLOCK_04D7E0,0,stream=0x4D000;block=0x7E0;text=0,"[""stream=0x4D000;block=0x7E0;text=0""]",1,BRIEFING FILES,"[""stream=0x4D000;block=0x7E0;block_file=0x4D7E0;text_base=0x4D83C;capacity=1456""]",,"“The Ghost in the Machine”とは、どういう意味
だ。
","ああ…あれはギルバート・ライルという哲学者の言葉だ。
",[],“The Ghost in the Machine”是什么意思？,,MATCH,65,48,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_04D7E0,1,stream=0x4D000;block=0x7E0;text=1,"[""stream=0x4D000;block=0x7E0;text=1""]",1,BRIEFING FILES,"[""stream=0x4D000;block=0x7E0;block_file=0x4D7E0;text_base=0x4D83C;capacity=1456""]","“The Ghost in the Machine”とは、どういう意味
だ。
","ああ…あれはギルバート・ライルという哲学者の言葉だ。
","デカルトは知っているな？
",[],嗯……那是哲学家Gilbert Ryle说过的话。,,MATCH,79,51,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_04D7E0,2,stream=0x4D000;block=0x7E0;text=2,"[""stream=0x4D000;block=0x7E0;text=2""]",1,BRIEFING FILES,"[""stream=0x4D000;block=0x7E0;block_file=0x4D7E0;text_base=0x4D83C;capacity=1456""]","ああ…あれはギルバート・ライルという哲学者の言葉だ。
","デカルトは知っているな？
","『我思う、故に我在り』…。
",[],你知道Descartes吧？,,MATCH,37,24,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_04D7E0,3,stream=0x4D000;block=0x7E0;text=3,"[""stream=0x4D000;block=0x7E0;text=3""]",1,BRIEFING FILES,"[""stream=0x4D000;block=0x7E0;block_file=0x4D7E0;text_base=0x4D83C;capacity=1456""]","デカルトは知っているな？
","『我思う、故に我在り』…。
","そう。心身二元論を唱えた哲学者。「思う」心は、物理法
則に支配された身体とは別の次元にある。デカルトはそう
考えた。
",[],“我思，故我在”……。,,MATCH,40,33,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_04D7E0,4,stream=0x4D000;block=0x7E0;text=4,"[""stream=0x4D000;block=0x7E0;text=4""]",1,BRIEFING FILES,"[""stream=0x4D000;block=0x7E0;block_file=0x4D7E0;text_base=0x4D83C;capacity=1456""]","『我思う、故に我在り』…。
","そう。心身二元論を唱えた哲学者。「思う」心は、物理法
則に支配された身体とは別の次元にある。デカルトはそう
考えた。
","だがこれが本当なら、「身体」という<R=機械,マシン>に「心」という<R=幽霊,ゴースト>
が宿ったものが人間、ということになりはしないか？
",[],对。他是提出身心二元论的哲学家。Descartes认为，会“思考”的心灵与受物理法则支配的身体处在不同维度。,,MATCH,171,144,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_04D7E0,5,stream=0x4D000;block=0x7E0;text=5,"[""stream=0x4D000;block=0x7E0;text=5""]",1,BRIEFING FILES,"[""stream=0x4D000;block=0x7E0;block_file=0x4D7E0;text_base=0x4D83C;capacity=1456""]","そう。心身二元論を唱えた哲学者。「思う」心は、物理法
則に支配された身体とは別の次元にある。デカルトはそう
考えた。
","だがこれが本当なら、「身体」という<R=機械,マシン>に「心」という<R=幽霊,ゴースト>
が宿ったものが人間、ということになりはしないか？
","人間とはそんなものではないはずだ…ライルはそう批判し
たんだ。
","[""<R=機械,マシン>"", ""<R=幽霊,ゴースト>""]","但如果这是真的，那么人类岂不就是“身体”这台<R=机器,MACHINE>中寄宿着名为“心灵”的<R=幽灵,GHOST>吗？","<R=机器,MACHINE> | <R=幽灵,GHOST>",MATCH,189,139,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=RUBY_READING_ROMANIZED
BRIEFING_FILES_BLOCK_04D7E0,6,stream=0x4D000;block=0x7E0;text=6,"[""stream=0x4D000;block=0x7E0;text=6""]",1,BRIEFING FILES,"[""stream=0x4D000;block=0x7E0;block_file=0x4D7E0;text_base=0x4D83C;capacity=1456""]","だがこれが本当なら、「身体」という<R=機械,マシン>に「心」という<R=幽霊,ゴースト>
が宿ったものが人間、ということになりはしないか？
","人間とはそんなものではないはずだ…ライルはそう批判し
たんだ。
","なぜ、それをあんたが？
",[],人类不该是这种东西……Ryle就是这样批判的。,,MATCH,92,61,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_04D7E0,7,stream=0x4D000;block=0x7E0;text=7,"[""stream=0x4D000;block=0x7E0;text=7""]",1,BRIEFING FILES,"[""stream=0x4D000;block=0x7E0;block_file=0x4D7E0;text_base=0x4D83C;capacity=1456""]","人間とはそんなものではないはずだ…ライルはそう批判し
たんだ。
","なぜ、それをあんたが？
","別にライルを意識して言ったわけじゃない。
",[],那你为什么会说这个？,,MATCH,34,30,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_04D7E0,8,stream=0x4D000;block=0x7E0;text=8,"[""stream=0x4D000;block=0x7E0;text=8""]",1,BRIEFING FILES,"[""stream=0x4D000;block=0x7E0;block_file=0x4D7E0;text_base=0x4D83C;capacity=1456""]","なぜ、それをあんたが？
","別にライルを意識して言ったわけじゃない。
","人間が<R=機械,マシン>と<R=幽霊,ゴースト>で成り立っているなら、逆もあるかも知
れない。そう思っただけ。
",[],我说那句话时，并没有特意想到Ryle。,,MATCH,61,49,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_04D7E0,9,stream=0x4D000;block=0x7E0;text=9,"[""stream=0x4D000;block=0x7E0;text=9""]",1,BRIEFING FILES,"[""stream=0x4D000;block=0x7E0;block_file=0x4D7E0;text_base=0x4D83C;capacity=1456""]","別にライルを意識して言ったわけじゃない。
","人間が<R=機械,マシン>と<R=幽霊,ゴースト>で成り立っているなら、逆もあるかも知
れない。そう思っただけ。
","<R=機械,マシン>の中に<R=霊魂,ゴースト>を宿らせることで、あるいは人が生まれる
んじゃないか、とね。
","[""<R=機械,マシン>"", ""<R=幽霊,ゴースト>""]","我只是觉得，如果人是由<R=机器,MACHINE>和<R=幽灵,GHOST>构成的，也许反过来也可能成立。","<R=机器,MACHINE> | <R=幽灵,GHOST>",MATCH,147,115,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=RUBY_READING_ROMANIZED
